Date,Management Unit,County,Sex,Age,Status,Weight,Length,,,
1/6/89,Dixon,Douglas,M,5,B,126,82,,,
1/7/89,Applegate,Jackson,F,2,C,,74,,,
1/7/89,McKenzie,Lane,F,5,A,112,81,,,
1/7/89,Indigo,Lane,M,2,A,130,84,,,
1/8/89,Indigo,Lane,F,3,A,78,76,,,
1/8/89,Evans Creek,Douglas,M,2,A,117,84,,,
1/10/89,Rogue,Jackson,M,3,A,127,81,,,
1/11/89,Dixon,Douglas,M,3,A,120,84,,,
1/14/89,Applegate,Jackson,F,9,A,75,61,,,
1/14/89,Chetco,Josephine,M,9,A,120,83,,,
1/15/89,Dixon,Douglas,F,0,C,,46,,,
1/15/89,Dixon,Douglas,M,1,C,,73,,,
1/16/89,Dixon,Douglas,F,3,A,100,78,,,
1/17/89,Rogue,Jackson,M,3,A,140,80,,,
1/19/89,Indigo,Lane,F,2,A,80,75,,,
1/19/89,Powers,Coos,M,2,A,128,78,,,
1/20/89,Dixon,Douglas,F,3,A,80,76,,,
1/22/89,Dixon,Douglas,F,4,B,105,76,,,
1/22/89,Dixon,Douglas,M,5,A,127,77,,,
1/23/89,Powers,Douglas,F,2,A,78,75,,,
1/25/89,Powers,Douglas,M,1,A,115,77,,,
1/28/89,Indigo,Lane,F,6,A,82,73,,,
1/29/89,Dixon,Douglas,F,4,A,84,77,,,
1/29/89,Dixon,Douglas,M,2,B,133,88,,,
2/3/89,Dixon,Douglas,M,2,A,135,82,,,
2/4/89,Dixon,Douglas,F,2,A,85,75,,,
2/27/89,McKenzie,Lane,F,0,A,60,62,,,
3/2/89,Dixon,Douglas,F,2,A,72,70,,,
4/4/89,Fossil,Wheeler,M,6,A,120,,,,
5/13/89,Mt. Emily,Umatilla,M,3,A,102,79,,,
5/19/89,Chesnimnus,Wallowa,F,0,A,65,66,,,
5/19/89,Chesnimnus,Wallowa,F,10,A,99,77,,,
5/21/89,Dixon,Douglas,F,2,A,80,78,,,
5/23/89,Applegate,Josephine,M,3,A,130,84,,,
5/24/89,Chesnimnus,Wallowa,F,0,A,54,65,,,
7/11/89,Sled Springs,Wallowa,M,4,A,121,,,,
7/23/89,Walla Walla,Umatilla,M,2,A,50,,,,
8/15/89,Rogue,Jackson,M,3,A,112,83,,,
8/20/89,Catherine Creek,Union,M,1,A,96,75,,,
10/14/89,Ochoco,Crook,M,2,A,119,75,,,
10/31/89,Mt. Emily,Union,M,1,A,104,79,,,
11/15/89,Catherine Creek,Union,M,1,A,98,81,,,
11/24/89,Dixon,Jackson,F,5,B,95,,,,
11/24/89,Rogue,Jackson,M,1,A,120,,,,
11/26/89,Rogue,Jackson,M,2,B,117,84,,,
11/27/89,Dixon,Jackson,M,2,C,,80,,,
11/27/89,Dixon,Douglas,M,1,A,127,81,,,
11/28/89,Applegate,Jackson,F,1,A,80,74,,,
12/1/89,Rogue,Jackson,M,4,A,153,84,,,
12/2/89,Sled Springs,Wallowa,M,5,A,142,,,,
12/2/89,Wenaha,Wallowa,F,2,A,87,75,,,
12/2/89,Imnaha,Wallowa,M,1,A,95,76,,,
12/2/89,Pine Creek,Baker,M,2,B,84,79,,,
12/2/89,Minam,Wallowa,M,3,A,139,81,,,
12/3/89,Walla Walla,Umatilla,F,3,A,99,74,,,
12/3/89,Dixon,Jackson,M,3,A,150,85,,,
12/3/89,Mt. Emily,Union,M,6,A,149,87,,,
12/6/89,Walla Walla,Umatilla,M,7,A,168,79,,,
12/9/89,Catherine Creek,Union,F,2,A,80,76,,,
12/9/89,Lookout Mtn,Baker,M,2,B,81,77,,,
12/10/89,Sled Springs,Wallowa,M,2,A,105,76,,,
12/10/89,Snake River,Wallowa,M,10,A,118,77,,,
12/10/89,Wenaha,Union,M,4,A,138,77,,,
12/10/89,Minam,Wallowa,F,11,A,93,78,,,
12/10/89,Applegate,Josephine,M,3,A,110,81,,,
12/10/89,Applegate,Josephine,M,3,A,125,84,,,
12/10/89,McKenzie,Lane,M,7,A,151,87,,,
12/10/89,Mt. Emily,Umatilla,M,9,A,158,89,,,
12/11/89,Mt. Emily,Umatilla,F,2,A,75,70,,,
12/12/89,Northside,Grant,F,3,A,81,72,,,
12/12/89,Wenaha,Union,M,7,A,147,81,,,
12/12/89,Chesnimnus,Wallowa,M,6,A,135,83,,,
12/13/89,Imnaha,Wallowa,M,2,A,110,78,,,
12/14/89,Wenaha,Wallowa,M,5,B,142,84,,,
12/16/89,Dixon,Douglas,M,0,A,63,68,,,
12/16/89,Wenaha,Wallowa,M,2,A,105,77,,,
12/16/89,Dixon,Douglas,M,2,B,120,79,,,
12/17/89,McKenzie,Linn,M,2,B,111,,,,
12/17/89,Dixon,Douglas,M,2,A,100,82,,,
12/18/89,Chesnimnus,Wallowa,M,4,A,117,80,,,
12/19/89,Dixon,Douglas,F,4,A,88,71,,,
12/20/89,Walla Walla,Umatilla,M,13,A,142,82,,,
12/20/89,Catherine Creek,Union,M,7,A,131,85,,,
12/23/89,Chesnimnus,Wallowa,F,2,A,77,71,,,
12/25/89,Dixon,Douglas,F,2,A,75,72,,,
12/26/89,Chetco,Curry,F,1,A,71,75,,,
12/27/89,Lookout Mtn,Baker,M,6,A,142,,,,
12/28/89,McKenzie,Lane,M,2,A,131,,,,
12/28/89,Minam,Wallowa,F,2,A,86,73,,,
12/29/89,Sled Springs,Wallowa,F,2,A,78,74,,,
12/29/89,Mt. Emily,Umatilla,F,6,A,83,78,,,
12/29/89,Catherine Creek,Union,M,5,A,139,81,,,
12/30/89,McKenzie,Lane,M,3,A,165,,,,
12/30/89,Chesnimnus,Wallowa,M,1,A,93,75,,,
12/30/89,Imnaha,Wallowa,M,2,A,97,77,,,
12/30/89,Northside,Grant,M,2,A,115,83,,,
12/31/89,Northside,Grant,M,6,A,115,85,,,
12/31/89,Rogue,Jackson,M,2,A,145,88,,,
1/1/90,Dixon,Douglas,F,4,A,80,79,,,
1/1/90,Hood,Hood River,M,1,B,105,82,,,
1/2/90,Applegate,Jackson,F,3,A,84,,,,
1/3/90,Dixon,Douglas,M,3,B,101,76,,,
1/4/90,Applegate,Jackson,M,0,A,53,62,,,
1/4/90,McKenzie,Lane,M,1,A,102,81,,,
1/5/90,Dixon,Douglas,F,2,B,70,78,,,
1/6/90,Applegate,Jackson,F,4,A,85,74,,,
1/9/90,Whitehorse,Malheur,M,7,A,145,82,,,
1/10/90,Indigo,Douglas,F,3,A,86,84,,,
1/12/90,McKenzie,Lane,F,4,A,83,74,,,
1/13/90,Dixon,Douglas,F,3,A,75,,,,
1/13/90,Indigo,Douglas,M,1,B,88,,,,
1/13/90,Dixon,Douglas,F,4,A,90,73,,,
1/16/90,Dixon,Douglas,M,7,A,169,83,,,
1/17/90,Rogue,Jackson,F,2,A,90,76,,,
1/17/90,Applegate,Jackson,M,5,A,150,84,,,
1/19/90,Applegate,Josephine,F,8,B,75,76,,,
1/20/90,Applegate,Jackson,M,2,A,120,81,,,
1/20/90,Dixon,Douglas,M,3,B,115,82,,,
1/20/90,Applegate,Jackson,M,2,A,113,83,,,
1/20/90,Indigo,Douglas,M,3,A,137,87,,,
1/21/90,Applegate,Josephine,M,0,A,48,61,,,
1/23/90,Applegate,Jackson,F,2,A,70,74,,,
1/23/90,McKenzie,Lane,M,3,A,131,80,,,
1/24/90,White River,Wasco,M,3,A,156,83,,,
1/26/90,Dixon,Jackson,F,1,A,76,73,,,
1/26/90,Rogue,Jackson,M,3,B,100,75,,,
1/26/90,Hood,Hood River,M,3,A,152,79,,,
1/26/90,Applegate,Jackson,M,2,A,105,80,,,
1/26/90,Evans Creek,Jackson,M,8,A,128,81,,,
1/26/90,Rogue,Jackson,M,4,A,132,85,,,
1/27/90,McKenzie,Lane,M,1,A,115,,,,
1/27/90,Dixon,Douglas,M,0,A,46,65,,,
1/27/90,Rogue,Jackson,M,2,A,110,80,,,
1/27/90,McKenzie,Lane,M,3,A,135,80,,,
1/27/90,Melrose,Douglas,F,5,A,103,81,,,
1/27/90,McKenzie,Linn,M,3,A,131,82,,,
1/27/90,Indigo,Douglas,M,1,A,109,86,,,
1/28/90,Dixon,Douglas,F,1,A,65,72,,,
1/30/90,Dixon,Douglas,F,2,A,82,74,,,
1/30/90,Applegate,Jackson,M,4,A,137,86,,,
1/31/90,Dixon,Jackson,F,3,B,75,77,,,
1/31/90,McKenzie,Lane,M,7,A,145,84,,,
2/7/90,Dixon,Douglas,M,3,A,110,79,,,
2/13/90,Dixon,Douglas,F,2,A,95,78,,,
2/14/90,Dixon,Douglas,M,6,A,138,88,,,
2/15/90,Sled Springs,Union,F,0,A,21,36,,,
2/15/90,Applegate,Josephine,M,3,A,93,77,,,
2/23/90,Dixon,Douglas,F,2,A,76,75,,,
2/24/90,Dixon,Douglas,F,4,A,107,78,,,
3/3/90,Applegate,Jackson,F,0,A,42,59,,,
3/7/90,Dixon,Douglas,F,2,B,80,,,,
3/13/90,Dixon,Douglas,M,9,B,104,84,,,
3/17/90,Dixon,Douglas,M,9,A,140,90,,,
3/26/90,Dixon,Douglas,F,0,A,29,53,,,
3/27/90,Melrose,Douglas,F,0,A,42,63,,,
4/11/90,Catherine Creek,Union,M,3,A,113,,,,
5/1/90,Tioga,Douglas,M,2,A,110,83,,,
5/3/90,Upper Deschutes,Deschutes,M,4,A,145,87,,,
5/4/90,Dixon,Douglas,F,1,A,68,71,,,
5/12/90,Hood,Hood River,F,0,A,22,60,,,
5/14/90,Sixes,Coos,F,2,A,68,69,,,
5/16/90,Santiam,Clackamas,F,13,A,99,76,,,
5/31/90,Santiam,Clackamas,F,1,A,56,70,,,
6/4/90,McKenzie,Lane,F,1,A,75,,,,
6/8/90,Santiam,Clackamas,F,1,A,55,68,,,
7/4/90,Siuslaw,Douglas,M,1,A,83,72,,,
7/11/90,Melrose,Douglas,F,3,A,70,74,,,
7/14/90,Mt Emily,Umatilla,M,8,A,139,84,,,
8/22/90,Dixon,Douglas,M,1,A,90,78,,,
8/23/90,Mt Emily,Umatilla,M,5,A,139,78,,,
8/24/90,Dixon,Douglas,F,15,A,63,72,,,
8/26/90,Applegate,Jackson,M,2,A,75,71,,,
9/21/90,Metolius,Jefferson,F,0,A,23,50,,,
9/25/90,Applegate,Josephine,F,0,A,52,54,,,
9/29/90,Imnaha,Wallowa,M,0,A,20,,,,
10/12/90,Applegate,Jackson,M,2,A,116,82,,,
